Element,Symbol,NumberofElectrons,s,p,d,f,Group,Period,AtomicMass,Phase,Metal,Nonmetal,Metalloid,AtomicRadius,Electronegativity,FirstIonization,Density,NumberofShells,NumberofValence
Hydrogen,H,1,1,0,0,0,1,1,1.007,gas,,yes,,0.79,2.2,13.5984,8.99E-05,1,1
Helium,He,2,2,0,0,0,18,1,4.002,gas,,yes,,0.49,,24.5874,1.79E-04,1,
Lithium,Li,3,3,0,0,0,1,2,6.941,solid,yes,,,2.1,0.98,5.3917,5.34E-01,2,1
Beryllium,Be,4,4,0,0,0,2,2,9.012,solid,yes,,,1.4,1.57,9.3227,1.85E+00,2,2
Boron,B,5,4,1,0,0,13,2,10.811,solid,,,yes,1.2,2.04,8.298,2.34E+00,2,3
Carbon,C,6,4,2,0,0,14,2,12.011,solid,,yes,,0.91,2.55,11.2603,2.27E+00,2,4
Nitrogen,N,7,4,3,0,0,15,2,14.007,gas,,yes,,0.75,3.04,14.5341,1.25E-03,2,5
Oxygen,O,8,4,4,0,0,16,2,15.999,gas,,yes,,0.65,3.44,13.6181,1.43E-03,2,6
Fluorine,F,9,4,5,0,0,17,2,18.998,gas,,yes,,0.57,3.98,17.4228,1.70E-03,2,7
Neon,Ne,10,4,6,0,0,18,2,20.18,gas,,yes,,0.51,,21.5645,9.00E-04,2,8
Sodium,Na,11,5,6,0,0,1,3,22.99,solid,yes,,,2.2,0.93,5.1391,9.71E-01,3,1
Magnesium,Mg,12,6,6,0,0,2,3,24.305,solid,yes,,,1.7,1.31,7.6462,1.74E+00,3,2
Aluminum,Al,13,6,7,0,0,13,3,26.982,solid,yes,,,1.8,1.61,5.9858,2.70E+00,3,3
Silicon,Si,14,6,8,0,0,14,3,28.086,solid,,,yes,1.5,1.9,8.1517,2.33E+00,3,4
Phosphorus,P,15,6,9,0,0,15,3,30.974,solid,,yes,,1.2,2.19,10.4867,1.82E+00,3,5
Sulfur,S,16,6,10,0,0,16,3,32.065,solid,,yes,,1.1,2.58,10.36,2.07E+00,3,6
Chlorine,Cl,17,6,11,0,0,17,3,35.453,gas,,yes,,0.97,3.16,12.9676,3.21E-03,3,7
Argon,Ar,18,6,12,0,0,18,3,39.948,gas,,yes,,0.88,,15.7596,1.78E-03,3,8
Potassium,K,19,7,12,0,0,1,4,39.098,solid,yes,,,2.8,0.82,4.3407,8.62E-01,4,1
Calcium,Ca,20,8,12,0,0,2,4,40.078,solid,yes,,,2.2,1,6.1132,1.54E+00,4,2
Scandium,Sc,21,8,12,1,0,3,4,44.956,solid,yes,,,2.1,1.36,6.5615,2.99E+00,4,
Titanium,Ti,22,8,12,2,0,4,4,47.867,solid,yes,,,2,1.54,6.8281,4.54E+00,4,
Vanadium,V,23,8,12,3,0,5,4,50.942,solid,yes,,,1.9,1.63,6.7462,6.11E+00,4,
Chromium,Cr,24,8,12,5,0,6,4,51.996,solid,yes,,,1.9,1.66,6.7665,7.15E+00,4,
Manganese,Mn,25,8,12,5,0,7,4,54.938,solid,yes,,,1.8,1.55,7.434,7.44E+00,4,
Iron,Fe,26,8,12,6,0,8,4,55.845,solid,yes,,,1.7,1.83,7.9024,7.87E+00,4,
Cobalt,Co,27,8,12,7,0,9,4,58.933,solid,yes,,,1.7,1.88,7.881,8.86E+00,4,
Nickel,Ni,28,8,12,8,0,10,4,58.693,solid,yes,,,1.6,1.91,7.6398,8.91E+00,4,
Copper,Cu,29,8,12,10,0,11,4,63.546,solid,yes,,,1.6,1.9,7.7264,8.96E+00,4,
Zinc,Zn,30,8,12,10,0,12,4,65.38,solid,yes,,,1.5,1.65,9.3942,7.13E+00,4,
Gallium,Ga,31,8,13,10,0,13,4,69.723,solid,yes,,,1.8,1.81,5.9993,5.91E+00,4,3
Germanium,Ge,32,8,14,10,0,14,4,72.64,solid,,,yes,1.5,2.01,7.8994,5.32E+00,4,4
Arsenic,As,33,8,15,10,0,15,4,74.922,solid,,,yes,1.3,2.18,9.7886,5.78E+00,4,5
Selenium,Se,34,8,16,10,0,16,4,78.96,solid,,yes,,1.2,2.55,9.7524,4.81E+00,4,6
Bromine,Br,35,8,17,10,0,17,4,79.904,liq,,yes,,1.1,2.96,11.8138,3.12E+00,4,7
Krypton,Kr,36,8,18,10,0,18,4,83.798,gas,,yes,,1,,13.9996,3.73E-03,4,8
Rubidium,Rb,37,9,18,10,0,1,5,85.468,solid,yes,,,3,0.82,4.1771,1.53E+00,5,1
Strontium,Sr,38,10,18,10,0,2,5,87.62,solid,yes,,,2.5,0.95,5.6949,2.64E+00,5,2
Yttrium,Y,39,10,18,11,0,3,5,88.906,solid,yes,,,2.3,1.22,6.2173,4.47E+00,5,
Zirconium,Zr,40,10,18,12,0,4,5,91.224,solid,yes,,,2.2,1.33,6.6339,6.51E+00,5,
Niobium,Nb,41,9,18,14,0,5,5,92.906,solid,yes,,,2.1,1.6,6.7589,8.57E+00,5,
Molybdenum,Mo,42,9,18,15,0,6,5,95.96,solid,yes,,,2,2.16,7.0924,1.02E+01,5,
Technetium,Tc,43,9,18,16,0,7,5,98,artificial,yes,,,2,1.9,7.28,1.15E+01,5,
Ruthenium,Ru,44,9,18,17,0,8,5,101.07,solid,yes,,,1.9,2.2,7.3605,1.24E+01,5,
Rhodium,Rh,45,9,18,18,0,9,5,102.906,solid,yes,,,1.8,2.28,7.4589,1.24E+01,5,
Palladium,Pd,46,8,18,20,0,10,5,106.42,solid,yes,,,1.8,2.2,8.3369,1.20E+01,5,
Silver,Ag,47,9,18,20,0,11,5,107.868,solid,yes,,,1.8,1.93,7.5762,1.05E+01,5,
Cadmium,Cd,48,10,18,20,0,12,5,112.411,solid,yes,,,1.7,1.69,8.9938,8.69E+00,5,
Indium,In,49,10,19,20,0,13,5,114.818,solid,yes,,,2,1.78,5.7864,7.31E+00,5,3
Tin,Sn,50,10,20,20,0,14,5,118.71,solid,yes,,,1.7,1.96,7.3439,7.29E+00,5,4
Antimony,Sb,51,10,21,20,0,15,5,121.76,solid,,,yes,1.5,2.05,8.6084,6.69E+00,5,5
Tellurium,Te,52,10,22,20,0,16,5,127.6,solid,,,yes,1.4,2.1,9.0096,6.23E+00,5,6
Iodine,I,53,10,23,20,0,17,5,126.904,solid,,yes,,1.3,2.66,10.4513,4.93E+00,5,7
Xenon,Xe,54,10,24,20,0,18,5,131.293,gas,,yes,,1.2,,12.1298,5.89E-03,5,8
Cesium,Cs,55,11,24,20,0,1,6,132.905,solid,yes,,,3.3,0.79,3.8939,1.87E+00,6,1
Barium,Ba,56,12,24,20,0,2,6,137.327,solid,yes,,,2.8,0.89,5.2117,3.59E+00,6,2
Lanthanum,La,57,12,24,21,0,3,6,138.905,solid,yes,,,2.7,1.1,5.5769,6.15E+00,6,
Cerium,Ce,58,12,24,20,2,,6,140.116,solid,yes,,,2.7,1.12,5.5387,6.77E+00,6,
Praseodymium,Pr,59,12,24,20,3,,6,140.908,solid,yes,,,2.7,1.13,5.473,6.77E+00,6,
Neodymium,Nd,60,12,24,20,4,,6,144.242,solid,yes,,,2.6,1.14,5.525,7.01E+00,6,
Promethium,Pm,61,12,24,20,5,,6,145,artificial,yes,,,2.6,1.13,5.582,7.26E+00,6,
Samarium,Sm,62,12,24,20,6,,6,150.36,solid,yes,,,2.6,1.17,5.6437,7.52E+00,6,
Europium,Eu,63,12,24,20,7,,6,151.964,solid,yes,,,2.6,1.2,5.6704,5.24E+00,6,
Gadolinium,Gd,64,12,24,21,7,,6,157.25,solid,yes,,,2.5,1.2,6.1501,7.90E+00,6,
Terbium,Tb,65,12,24,20,9,,6,158.925,solid,yes,,,2.5,1.2,5.8638,8.23E+00,6,
Dysprosium,Dy,66,12,24,20,10,,6,162.5,solid,yes,,,2.5,1.22,5.9389,8.55E+00,6,
Holmium,Ho,67,12,24,20,11,,6,164.93,solid,yes,,,2.5,1.23,6.0215,8.80E+00,6,
Erbium,Er,68,12,24,20,12,,6,167.259,solid,yes,,,2.5,1.24,6.1077,9.07E+00,6,
Thulium,Tm,69,12,24,20,13,,6,168.934,solid,yes,,,2.4,1.25,6.1843,9.32E+00,6,
Ytterbium,Yb,70,12,24,20,14,,6,173.054,solid,yes,,,2.4,1.1,6.2542,6.97E+00,6,
Lutetium,Lu,71,12,24,21,14,,6,174.967,solid,yes,,,2.3,1.27,5.4259,9.84E+00,6,
Hafnium,Hf,72,12,24,22,14,4,6,178.49,solid,yes,,,2.2,1.3,6.8251,1.33E+01,6,
Tantalum,Ta,73,12,24,23,14,5,6,180.948,solid,yes,,,2.1,1.5,7.5496,1.67E+01,6,
Tungsten,W,74,12,24,24,14,6,6,183.84,solid,yes,,,2,2.36,7.864,1.93E+01,6,
Rhenium,Re,75,12,24,25,14,7,6,186.207,solid,yes,,,2,1.9,7.8335,2.10E+01,6,
Osmium,Os,76,12,24,26,14,8,6,190.23,solid,yes,,,1.9,2.2,8.4382,2.26E+01,6,
Iridium,Ir,77,12,24,27,14,9,6,192.217,solid,yes,,,1.9,2.2,8.967,2.26E+01,6,
Platinum,Pt,78,11,24,29,14,10,6,195.084,solid,yes,,,1.8,2.28,8.9587,2.15E+01,6,
Gold,Au,79,11,24,30,14,11,6,196.967,solid,yes,,,1.8,2.54,9.2255,1.93E+01,6,
Mercury,Hg,80,12,24,30,14,12,6,200.59,liq,yes,,,1.8,2,10.4375,1.35E+01,6,
Thallium,Tl,81,12,25,30,14,13,6,204.383,solid,yes,,,2.1,2.04,6.1082,1.19E+01,6,3
Lead,Pb,82,12,26,30,14,14,6,207.2,solid,yes,,,1.8,2.33,7.4167,1.13E+01,6,4
Bismuth,Bi,83,12,27,30,14,15,6,208.98,solid,yes,,,1.6,2.02,7.2856,9.81E+00,6,5
Polonium,Po,84,12,28,30,14,16,6,210,solid,,,yes,1.5,2,8.417,9.32E+00,6,6
Astatine,At,85,12,29,30,14,17,6,210,solid,,yes,,1.4,2.2,9.3,7.00E+00,6,7
Radon,Rn,86,12,30,30,14,18,6,222,gas,yes,,,1.3,,10.7485,9.73E-03,6,8
Francium,Fr,87,13,30,30,14,1,7,223,solid,yes,,,,0.7,4.0727,1.87E+00,7,1
Radium,Ra,88,14,30,30,14,2,7,226,solid,yes,,,,0.9,5.2784,5.50E+00,7,2
Actinium,Ac,89,14,30,31,14,3,7,227,solid,yes,,,,1.1,5.17,1.01E+01,7,
Thorium,Th,90,14,30,32,14,,7,232.038,solid,yes,,,,1.3,6.3067,1.17E+01,7,
Protactinium,Pa,91,14,30,31,16,,7,231.036,solid,yes,,,,1.5,5.89,1.54E+01,7,
Uranium,U,92,14,30,31,17,,7,238.029,solid,yes,,,,1.38,6.1941,1.90E+01,7,
Neptunium,Np,93,14,30,31,18,,7,237,artificial,yes,,,,1.36,6.2657,2.05E+01,7,
Plutonium,Pu,94,14,30,30,20,,7,244,artificial,yes,,,,1.28,6.0262,1.98E+01,7,
Americium,Am,95,14,30,30,21,,7,243,artificial,yes,,,,1.3,5.9738,1.37E+01,7,
Curium,Cm,96,14,30,31,21,,7,247,artificial,yes,,,,1.3,5.9915,1.35E+01,7,
Berkelium,Bk,97,14,30,30,23,,7,247,artificial,yes,,,,1.3,6.1979,1.48E+01,7,
Californium,Cf,98,14,30,30,24,,7,251,artificial,yes,,,,1.3,6.2817,1.51E+01,7,
Einsteinium,Es,99,14,30,30,25,,7,252,artificial,yes,,,,1.3,6.42,1.35E+01,7,
Fermium,Fm,100,14,30,30,26,,7,257,artificial,yes,,,,1.3,6.5,,7,
Mendelevium,Md,101,14,30,30,27,,7,258,artificial,yes,,,,1.3,6.58,,7,
Nobelium,No,102,14,30,30,28,,7,259,artificial,yes,,,,1.3,6.65,,7,
Lawrencium,Lr,103,14,30,31,28,,7,262,artificial,yes,,,,,,,7,
Rutherfordium,Rf,104,14,30,32,28,4,7,261,artificial,yes,,,,,,1.81E+01,7,
Dubnium,Db,105,14,30,33,28,5,7,262,artificial,yes,,,,,,3.90E+01,7,
Seaborgium,Sg,106,14,30,34,28,6,7,266,artificial,yes,,,,,,3.50E+01,7,
Bohrium,Bh,107,14,30,35,28,7,7,264,artificial,yes,,,,,,3.70E+01,7,
Hassium,Hs,108,14,30,36,28,8,7,267,artificial,yes,,,,,,4.10E+01,7,
Meitnerium,Mt,109,14,30,37,28,9,7,268,artificial,yes,,,,,,3.50E+01,7,
Darmstadtium,Ds,110,14,30,38,28,10,7,271,artificial,yes,,,,,,,7,
Roentgenium,Rg,111,14,30,39,28,11,7,272,artificial,yes,,,,,,,7,
Copernicium,Cn,112,14,30,40,28,12,7,285,artificial,yes,,,,,,,7,
Nihonium,Nh,113,14,31,40,28,13,7,284,artificial,yes,,,,,,,7,3
Flerovium,Fl,114,14,32,40,28,14,7,289,artificial,yes,,,,,,,7,4
Moscovium,Mc,115,14,33,40,28,15,7,288,artificial,yes,,,,,,,7,5
Livermorium,Lv,116,14,34,40,28,16,7,292,artificial,yes,,,,,,,7,6
Tennessine,Ts,117,14,35,40,28,17,7,295,artificial,,yes,,,,,,7,7
Oganesson,Og,118,14,36,40,28,18,7,294,artificial,,yes,,,,,,7,8