SG,Top_Class,Formula,Source,ID,centered,natoms,nelectrons,dim,bandgap,directbandgap,metallicity,Z2,wcc
15,2.0,Sr2LiFe2N3,ICSD,71059,1.0,16.0,108.0,1.0,0.0,0.008,0.228,(1;000),0.0
15,2.0,CrP4,ICSD,2790,1.0,10.0,68.0,2.0,0.0,0.022,0.114,(1;000),1.0
15,2.0,CoGeO3,ICSD,26814,1.0,20.0,156.0,3.0,0.0,0.005,0.333,(1;000),0.0
15,2.0,Ga2NiCl8,ICSD,417870,1.0,22.0,184.0,2.0,0.0,0.002,0.192,(1;000),0.0
15,2.0,CrBiO3,ICSD,174404,1.0,20.0,188.0,3.0,0.0,0.003,0.244,(1;000),0.0
15,2.0,Ba2LiFe2N3,ICSD,71060,1.0,16.0,108.0,1.0,0.0,0.006,0.407,(1;000),0.0
15,2.0,Al2NiCl8,ICSD,417872,1.0,22.0,144.0,2.0,0.0,0.003,0.088,(1;000),0.0
15,4.0,Y2Si5Rh3,ICSD,40760,1.0,20.0,186.0,3.0,0.0,0.0,0.534,(0;011),0.0
15,4.0,RbTe6,ICSD,74837,1.0,14.0,90.0,2.0,0.0,0.0,0.955,(1;101),0.0
15,4.0,VP2O7,ICSD,39762,1.0,20.0,130.0,3.0,0.0,0.0,0.285,(1;011),0.0
15,4.0,Re2SbO6,ICSD,51023,1.0,18.0,142.0,3.0,7.6296,0.0,1.0,(0;000),0.0
15,4.0,Sr2InPt2,ICSD,391433,1.0,10.0,106.0,3.0,0.0,0.0,0.376,(0;101),0.0
15,4.0,Sr2InPd2,ICSD,391432,1.0,10.0,138.0,3.0,0.0,0.0,0.527,(0;011),0.0
15,4.0,VH2O3,ICSD,16727,1.0,12.0,66.0,2.0,0.0,0.0,0.336,(1;101),0.0
15,4.0,KFeSe2,ICSD,40780,1.0,8.0,58.0,1.0,0.0,0.0,0.5,(1;101),0.0
15,4.0,LiFe(GeO3)2,ICSD,169479,1.0,20.0,110.0,3.0,0.0,0.0,0.374,(0;011),0.0
15,4.0,LiFe(GeO3)2,ICSD,162950,1.0,20.0,110.0,3.0,0.0,0.0,0.327,(1;101),0.0
15,4.0,Y(CuO2)2,ICSD,83493,1.0,14.0,114.0,3.0,0.0,0.0,0.368,(1;101),0.0
15,4.0,NaCuSO4F,ICSD,262273,1.0,16.0,114.0,3.0,0.0,0.0,0.143,(1;101),0.0
15,4.0,LiCr(GeO3)2,ICSD,174432,1.0,20.0,122.0,3.0,0.0,0.0,0.425,(1;011),0.0
15,4.0,Mg3Ga7Co2,ICSD,157364,1.0,24.0,310.0,3.0,0.0,0.0,0.696,(0;101),0.0
15,4.0,NaCoSO4F,ICSD,262275,1.0,16.0,126.0,3.0,0.0,0.001,0.551,(1;011),0.0
15,4.0,Ca2InPt2,ICSD,418203,1.0,10.0,106.0,3.0,0.0,0.0,0.337,(0;011),0.0
15,4.0,Ca2InPd2,ICSD,418202,1.0,10.0,138.0,3.0,0.0,0.0,0.48,(0;011),0.0
15,4.0,Cu(CO)4,ICSD,415406,1.0,18.0,102.0,3.0,0.0,0.0,0.504,(1;011),0.0
15,4.0,Re2BiO6,ICSD,181425,1.0,18.0,162.0,3.0,0.0,0.0,0.476,(1;100),0.0
15,4.0,BaCu(SeO3)2,ICSD,202388,1.0,20.0,138.0,2.0,0.0,0.0,0.983,(1;101),0.0
15,4.0,Ni4B3,ICSD,150561,1.0,14.0,98.0,3.0,0.0,0.0,0.801,(0;100),0.0
15,4.0,Al2VCl8,ICSD,415951,1.0,22.0,150.0,2.0,0.0,0.0,0.192,(1;011),0.0
20,3.0,BaVS3,ICSD,63230,0.0,10.0,82.0,1.0,0.0,0.001,0.388,,0.0
31,4.0,KMnPH2O5,ICSD,71178,0.0,20.0,122.0,1.0,0.0,0.0,0.886,,0.0
31,4.0,FeHO2,ICSD,420002,0.0,8.0,42.0,3.0,0.0,0.0,0.486,,0.0
33,3.0,MnGeN2,ICSD,23528,0.0,16.0,116.0,3.0,0.0,0.001,0.427,,0.0
33,3.0,NaFeO2,ICSD,186309,0.0,16.0,116.0,3.0,0.0,0.0,0.554,,0.0
36,4.0,NiP,ICSD,188064,0.0,12.0,90.0,3.0,0.0,0.0,0.451,,0.0
36,4.0,CaIrO3,ICSD,159032,0.0,10.0,74.0,2.0,0.0,0.0,0.318,,0.0
36,4.0,Mn2Bi3O7,ICSD,184382,0.0,24.0,234.0,3.0,0.0,0.0,0.742,,0.0
36,4.0,BaVS3,ICSD,63229,0.0,10.0,82.0,1.0,0.0,0.0,0.538,,0.0
36,4.0,BaVS3,ICSD,52692,0.0,10.0,82.0,1.0,0.0,0.0,0.497,,0.0
36,4.0,BaVS3,ICSD,154182,0.0,10.0,82.0,1.0,0.0,0.0,0.545,(0;011),1.0
36,4.0,Mn5As4,ICSD,73252,0.0,18.0,190.0,3.0,1.1774,0.002,1.0,(0;000),0.0
36,4.0,AsPd3Pb2,ICSD,106267,0.0,12.0,126.0,3.0,0.0,0.0,0.783,,0.0
43,4.0,Y3Ge5,ICSD,20612,0.0,16.0,106.0,3.0,0.0,0.0,0.778,,0.0
47,2.0,Sr2TlCuO5,ICSD,86427,1.0,9.0,74.0,3.0,0.0,0.009,0.469,(0;001),0.0
51,2.0,Ca2Ni3Ge2,ICSD,421074,1.0,14.0,116.0,2.0,0.0,0.002,0.884,(1;100),0.0
51,2.0,TaBRu,ICSD,429116,1.0,18.0,192.0,3.0,0.0,0.012,0.833,(1;010),0.0
51,4.0,SrIn4Ir,ICSD,417836,1.0,12.0,158.0,3.0,0.0,0.0,0.869,(1;100),0.0
51,4.0,SiCuO3,ICSD,89669,1.0,10.0,66.0,3.0,0.0,0.0,0.86,(0;100),0.0
51,4.0,Fe2CuGe2,ICSD,62330,1.0,10.0,70.0,3.0,0.0,0.0,0.985,(1;101),0.0
51,4.0,Co2CuGe2,ICSD,62856,1.0,10.0,106.0,3.0,0.0,0.0,0.865,(1;000),0.0
51,4.0,CaIn4Rh,ICSD,410891,1.0,12.0,158.0,3.0,0.0,0.0,0.863,(0;100),0.0
51,4.0,CaIn4Ir,ICSD,410892,1.0,12.0,158.0,3.0,0.0,0.0,0.848,(1;100),0.0
52,3.0,TlFeBr4,ICSD,402064,1.0,24.0,196.0,1.0,0.0,0.001,0.518,(1;000),0.0
52,3.0,Sr2Bi3,ICSD,106329,1.0,20.0,140.0,2.0,0.0,0.007,0.673,(1;110),0.0
53,1.0,TaNiTe2,ICSD,71063,1.0,16.0,140.0,2.0,0.0,0.033,0.232,(1;010),0.0
55,2.0,Pb3O4,ICSD,97282,1.0,14.0,132.0,3.0,0.0,0.004,0.29,(1;100),0.0
55,2.0,Zr5(In2Rh)2,ICSD,391127,1.0,22.0,212.0,3.0,0.0,0.009,0.762,(1;000),0.0
55,2.0,Hf5(In2Rh)2,ICSD,412706,1.0,22.0,292.0,3.0,0.0,0.011,0.787,(0;100),0.0
55,2.0,MgGa2,ICSD,23226,1.0,24.0,288.0,3.0,0.0,0.01,0.822,(0;100),0.0
55,2.0,Sr2Cu2O5,ICSD,82019,1.0,18.0,144.0,3.0,0.0,0.007,0.556,(1;000),0.0
55,2.0,Ca2Mn2O5,ICSD,35219,1.0,18.0,160.0,3.0,0.0,0.002,0.942,(0;100),0.0
55,2.0,Y4C5,ICSD,84869,1.0,18.0,128.0,3.0,0.0,0.005,0.807,(0;100),0.0
55,2.0,Sc(BC)2,ICSD,23834,1.0,20.0,100.0,3.0,0.0,0.01,0.583,(1;000),0.0
55,2.0,YB4Rh,ICSD,419358,1.0,24.0,160.0,3.0,0.0,0.021,0.343,(1;000),0.0
55,2.0,Ga2AsRh5,ICSD,56973,1.0,16.0,232.0,3.0,0.0,0.023,0.577,(1;000),0.0
55,4.0,Sc5(In2Rh)2,ICSD,414506,1.0,22.0,282.0,3.0,0.0,0.0,0.994,(0;000),0.0
55,4.0,Y5(In2Pd)2,ICSD,165133,1.0,22.0,286.0,3.0,0.0,0.0,0.987,(1;000),0.0
55,4.0,Sc5(In2Ni)2,ICSD,414505,1.0,22.0,254.0,3.0,0.0,0.0,0.985,(0;000),0.0
55,4.0,In3Pd5,ICSD,417906,1.0,16.0,258.0,3.0,0.0,0.0,0.89,(0;000),0.0
55,4.0,Sc4NCl6,ICSD,201978,1.0,22.0,182.0,3.0,0.0,0.0,0.97,(0;000),0.0
55,4.0,Li2B2Rh3,ICSD,417442,1.0,14.0,126.0,3.0,0.0,0.0,0.971,(1;111),0.0
57,2.0,Hf(FeSi)2,ICSD,20933,1.0,20.0,144.0,3.0,0.0,0.002,0.275,(1;001),0.0
57,3.0,CrF5,ICSD,419661,1.0,24.0,196.0,1.0,0.0,0.001,0.466,(0;000),0.0
58,2.0,Sr2LiGe3,ICSD,414575,1.0,24.0,140.0,1.0,0.0,0.008,0.92,(1;000),0.0
58,2.0,CrB4,ICSD,186851,1.0,10.0,52.0,3.0,0.0,0.006,0.081,(1;000),0.0
58,4.0,LiRuO2,ICSD,48007,1.0,8.0,62.0,3.0,0.0,0.0,0.833,(0;000),0.0
58,4.0,CoH2(CN2)2,ICSD,236414,1.0,18.0,94.0,3.0,0.0,0.0,0.782,(0;000),0.0
58,4.0,BPd2,ICSD,10487,1.0,6.0,46.0,3.0,0.0,0.0,0.88,(0;101),0.0
59,1.0,YSiPd,ICSD,408080,1.0,24.0,264.0,3.0,0.0,0.006,0.889,(0;010),0.0
59,1.0,BaNi2Ge,ICSD,421431,1.0,8.0,68.0,3.0,0.0,0.035,0.272,(0;010),0.0
59,2.0,MoBr3,ICSD,413690,0.0,8.0,70.0,1.0,0.0,0.001,0.433,(0;011),1.0
59,2.0,Sr(InAu)3,ICSD,245679,1.0,14.0,164.0,3.0,0.0,0.014,0.721,(1;000),0.0
59,2.0,Rb3Sn4Au,ICSD,107445,1.0,16.0,188.0,1.0,0.0,0.027,0.226,(1;000),0.0
59,2.0,Rb3Pb4Au,ICSD,107447,1.0,16.0,188.0,1.0,0.0,0.026,0.367,(1;000),0.0
59,2.0,Cs3Pb4Au,ICSD,107448,1.0,16.0,188.0,1.0,0.0,0.03,0.34,(0;000),0.0
59,4.0,Ni6Mo2P3,ICSD,20825,1.0,22.0,206.0,3.0,0.0,0.0,0.798,(0;010),0.0
59,4.0,LiV2O5,ICSD,88639,1.0,16.0,118.0,2.0,0.0,0.0,0.987,(0;000),0.0
59,4.0,TiClO,ICSD,155833,1.0,6.0,50.0,2.0,0.0,0.0,0.885,(0;001),0.0
59,4.0,LiTiNCl,ICSD,261526,1.0,8.0,54.0,2.0,0.0,0.0,0.845,(0;000),0.0
59,4.0,CrSBr,ICSD,69659,1.0,6.0,54.0,2.0,0.0,0.0,0.938,(0;000),0.0
60,2.0,Mo2C,ICSD,246146,1.0,12.0,128.0,3.0,0.0,0.031,0.368,(1;000),0.0
61,2.0,SnTePd,ICSD,162404,1.0,24.0,304.0,3.0,0.0,0.044,0.145,(1;000),0.0
62,2.0,SrZn,ICSD,54980,1.0,8.0,88.0,1.0,0.0,0.008,0.518,(1;000),0.0
62,2.0,SrSnPt,ICSD,412012,1.0,12.0,136.0,3.0,0.0,0.061,0.369,(1;000),0.0
62,2.0,TiSiPt,ICSD,260794,1.0,12.0,104.0,3.0,0.0,0.042,0.071,(1;000),0.0
62,2.0,SnPd,ICSD,109415,1.0,8.0,96.0,3.0,0.0,0.018,0.403,(0;000),0.0
62,2.0,SiPd,ICSD,15016,1.0,8.0,56.0,3.0,0.0,0.016,0.394,(0;000),0.0
62,2.0,ScPPt,ICSD,417911,1.0,12.0,104.0,3.0,0.0,0.023,0.108,(1;000),0.0
62,2.0,SrSO4,ICSD,100624,1.0,24.0,160.0,2.0,0.0,0.003,0.307,(1;000),0.0
62,2.0,PbSO4,ICSD,100625,1.0,24.0,176.0,2.0,0.0,0.004,0.527,(0;000),0.0
62,2.0,NiTePd,ICSD,419759,1.0,12.0,136.0,3.0,0.0,0.019,0.604,(1;000),0.0
62,2.0,ScNiP,ICSD,50990,1.0,12.0,104.0,3.0,0.0,0.023,0.024,(1;000),0.0
62,2.0,ZrNbP,ICSD,75008,1.0,12.0,88.0,3.0,0.0,0.003,0.244,(1;000),0.0
62,2.0,SrMgPt,ICSD,426614,1.0,12.0,120.0,3.0,0.0,0.031,0.481,(1;000),0.0
62,2.0,YSnIr,ICSD,427252,1.0,12.0,168.0,3.0,0.0,0.034,0.534,(1;000),0.0
62,2.0,YSiIr,ICSD,427253,1.0,12.0,128.0,3.0,0.0,0.017,0.422,(1;000),0.0
62,2.0,TaSiIr,ICSD,411884,1.0,12.0,136.0,3.0,0.0,0.028,0.13,(0;000),0.0
62,2.0,NbSiIr,ICSD,411882,1.0,12.0,136.0,3.0,0.0,0.034,0.117,(0;000),0.0
62,2.0,MnSiIr,ICSD,246548,1.0,12.0,144.0,3.0,0.0,0.018,0.215,(0;000),0.0
62,2.0,In3Ir,ICSD,240201,1.0,16.0,224.0,3.0,0.0,0.026,0.338,(1;000),0.0
62,2.0,TaGeRh,ICSD,421092,1.0,12.0,136.0,3.0,0.0,0.03,0.157,(1;000),0.0
62,2.0,GePt,ICSD,2624,1.0,8.0,56.0,3.0,0.0,0.038,0.32,(0;000),0.0
62,2.0,TiGePd,ICSD,409926,1.0,12.0,136.0,3.0,0.0,0.011,0.069,(1;000),0.0
62,2.0,NbGeIr,ICSD,411883,1.0,12.0,136.0,3.0,0.0,0.016,0.113,(0;000),0.0
62,2.0,KNOF2,ICSD,240891,1.0,20.0,136.0,1.0,0.0,0.008,0.07,(1;000),0.0
62,2.0,YSeF,ICSD,2635,1.0,12.0,96.0,3.0,0.0,0.002,0.018,(1;000),0.0
62,2.0,ScSiCu,ICSD,86391,1.0,12.0,104.0,3.0,0.0,0.029,0.292,(1;000),0.0
62,2.0,Y3Co,ICSD,192244,1.0,16.0,200.0,3.0,0.0,0.004,0.305,(1;000),0.0
62,2.0,CoMoP,ICSD,2421,1.0,12.0,144.0,3.0,0.0,0.008,0.168,(0;000),0.0
62,2.0,K3CoO2,ICSD,73212,1.0,24.0,224.0,1.0,0.0,0.009,0.038,(0;000),0.0
62,2.0,NaCdSb,ICSD,12159,1.0,12.0,104.0,3.0,0.0,0.017,0.02,(1;000),0.0
62,2.0,CaSiPt,ICSD,72642,1.0,12.0,96.0,3.0,0.0,0.046,0.529,(1;000),0.0
62,2.0,CaInRh,ICSD,410841,1.0,12.0,160.0,3.0,0.0,0.01,0.691,(1;000),0.0
62,2.0,CaCdPt,ICSD,426610,1.0,12.0,128.0,3.0,0.0,0.049,0.562,(1;000),0.0
62,2.0,CaCdPd,ICSD,426611,1.0,12.0,160.0,3.0,0.0,0.03,0.494,(1;000),0.0
62,2.0,CoBi3,ICSD,236383,1.0,16.0,96.0,3.0,0.0,0.031,0.777,(1;000),0.0
62,2.0,Ba2Si,ICSD,52698,1.0,12.0,96.0,1.0,0.0,0.011,0.022,(1;000),0.0
62,2.0,Ba2Pb,ICSD,416561,1.0,12.0,136.0,1.0,0.0261,0.029,0.0,(1;000),0.0
62,2.0,SrInAu,ICSD,391422,1.0,12.0,136.0,3.0,0.0,0.069,0.359,(1;000),0.0
62,2.0,HfCoAs,ICSD,406953,1.0,12.0,136.0,3.0,0.0,0.026,0.019,(1;000),0.0
62,2.0,CaAlAu,ICSD,370015,1.0,12.0,96.0,3.0,0.0,0.022,0.395,(1;000),0.0
62,3.0,ScSiRu,ICSD,420417,1.0,12.0,124.0,3.0,0.0,0.0,0.711,(1;011),0.0
62,3.0,Y3Pt,ICSD,8016,1.0,16.0,172.0,3.0,0.0,0.0,0.309,(0;110),0.0
62,3.0,YSnPt,ICSD,417531,1.0,12.0,140.0,3.0,0.0,0.001,0.753,(1;011),0.0
62,3.0,ScSiPt,ICSD,79597,1.0,12.0,100.0,3.0,0.0,0.003,0.756,(0;011),0.0
62,3.0,YSiPd2,ICSD,35087,1.0,16.0,204.0,3.0,0.0,0.001,0.403,(0;101),0.0
62,3.0,YZnPd,ICSD,183334,1.0,12.0,164.0,3.0,0.0,0.002,0.947,(0;011),0.0
62,3.0,YSnPd,ICSD,424012,1.0,12.0,172.0,3.0,0.0,0.002,0.722,(0;011),0.0
62,3.0,PW,ICSD,42056,1.0,8.0,76.0,3.0,0.0,0.003,0.392,(1;011),0.0
62,3.0,Ta(NiTe)2,ICSD,66346,1.0,20.0,180.0,2.0,0.0,0.001,0.843,(1;011),0.0
62,3.0,TaNi2TeSe,ICSD,86174,1.0,20.0,180.0,2.0,0.0,0.001,0.907,(0;011),0.0
62,3.0,YSiNi,ICSD,79598,1.0,12.0,100.0,3.0,0.0,0.0,0.811,(0;011),0.0
62,3.0,ZrNiSb,ICSD,408195,1.0,12.0,76.0,3.0,0.0,0.001,0.451,(0;011),0.0
62,3.0,YNiPb,ICSD,427254,1.0,12.0,140.0,3.0,0.0,0.001,0.719,(0;011),0.0
62,3.0,NbSiPd,ICSD,416177,1.0,12.0,140.0,3.0,0.0,0.001,0.448,(1;011),0.0
62,3.0,TaMnP,ICSD,85947,1.0,12.0,132.0,3.0,0.0,0.001,0.656,(0;011),0.0
62,3.0,MnNbP,ICSD,68280,1.0,12.0,132.0,3.0,0.0,0.0,0.461,(0;011),0.0
62,3.0,MgNi2P,ICSD,74784,1.0,16.0,140.0,3.0,0.0,0.001,0.347,(0;101),0.0
62,3.0,SrInPt,ICSD,410704,1.0,12.0,132.0,3.0,0.0,0.002,0.84,(0;011),0.0
62,3.0,HfSiRh,ICSD,68790,1.0,12.0,132.0,3.0,0.0,0.001,0.538,(1;011),0.0
62,3.0,SrLiGe2,ICSD,162582,1.0,16.0,84.0,1.0,0.0,0.0,0.67,(1;011),0.0
62,3.0,GeRh,ICSD,44861,1.0,8.0,84.0,3.0,0.0,0.005,0.264,(0;011),0.0
62,3.0,YNiGe,ICSD,427255,1.0,12.0,100.0,3.0,0.0,0.0,0.738,(0;011),0.0
62,3.0,NbGePt,ICSD,186940,1.0,12.0,108.0,3.0,0.0,0.0,0.312,(1;011),0.0
62,3.0,ScFeSi,ICSD,84203,1.0,12.0,92.0,3.0,0.0,0.001,0.734,(0;011),0.0
62,3.0,ZrFeP,ICSD,43204,1.0,12.0,68.0,3.0,0.0,0.001,0.554,(1;011),0.0
62,3.0,FePO4,ICSD,290337,1.0,24.0,148.0,3.0,0.0,0.001,0.184,(1;011),0.0
62,3.0,Li(CuO)2,ICSD,71683,1.0,20.0,148.0,3.0,0.0,0.0,0.909,(1;011),0.0
62,3.0,ZrCuSn,ICSD,190123,1.0,12.0,116.0,3.0,0.0,0.0,0.402,(1;011),0.0
62,3.0,CuSeO3,ICSD,97747,1.0,20.0,140.0,3.0,0.0,0.0,0.479,(0;110),0.0
62,3.0,CrSbSe3,ICSD,84866,1.0,20.0,148.0,3.0,0.0,0.0,0.503,(0;011),0.0
62,3.0,MnSbS2Cl,ICSD,151925,1.0,20.0,156.0,3.0,0.0,0.001,0.373,(1;011),0.0
62,3.0,CdTcO3,ICSD,180009,1.0,20.0,180.0,3.0,0.0,0.001,0.355,(0;110),0.0
62,3.0,Ca5Ir,ICSD,156887,1.0,24.0,268.0,1.0,0.0,0.0,0.625,(1;110),0.0
62,3.0,Ca2In,ICSD,413803,1.0,12.0,132.0,1.0,0.0,0.001,0.486,(0;011),0.0
62,3.0,CaSbPt,ICSD,60830,1.0,12.0,100.0,3.0,0.0,0.004,0.775,(0;011),0.0
62,3.0,CaRhO3,ICSD,164775,1.0,20.0,180.0,3.0,0.0,0.005,0.554,(0;110),0.0
62,3.0,Y2ReC2,ICSD,69098,1.0,20.0,180.0,3.0,0.0,0.001,0.456,(1;011),0.0
62,3.0,MnInBr3,ICSD,75470,1.0,20.0,196.0,3.0,0.0,0.0,0.208,(0;011),0.0
62,3.0,NiBi3,ICSD,391336,1.0,16.0,220.0,3.0,0.0,0.002,0.716,(0;011),0.0
62,3.0,FeBiO3,ICSD,162895,1.0,20.0,164.0,3.0,0.0,0.0,0.63,(0;110),0.0
62,3.0,CrBiO3,ICSD,174403,1.0,20.0,188.0,3.0,0.0,0.001,0.448,(0;110),0.0
62,3.0,MnBiS2Cl,ICSD,172156,1.0,20.0,196.0,3.0,0.0,0.0,0.355,(1;011),0.0
62,3.0,Ba2In,ICSD,261714,1.0,12.0,132.0,1.0,0.0,0.0,0.462,(1;011),0.0
62,3.0,Ba2CoS3,ICSD,160295,1.0,24.0,220.0,1.0,0.0,0.001,0.963,(0;011),0.0
62,3.0,SrBPd4,ICSD,247263,1.0,24.0,340.0,3.0,0.0,0.0,0.582,(1;011),0.0
62,3.0,BaBPd4,ICSD,247264,1.0,24.0,340.0,3.0,0.0,0.0,0.503,(1;011),0.0
62,3.0,SrCdAu,ICSD,426612,1.0,12.0,132.0,3.0,0.0,0.008,0.779,(0;011),0.0
62,3.0,CaCdAu,ICSD,420574,1.0,12.0,132.0,3.0,0.0,0.008,0.781,(0;011),0.0
62,3.0,BaAu,ICSD,419559,1.0,8.0,84.0,3.0,0.0,0.005,0.453,(1;011),0.0
62,3.0,NbNiAs2,ICSD,38412,1.0,16.0,132.0,3.0,0.0,0.001,0.329,(0;011),0.0
62,3.0,MnCuAs,ICSD,72413,1.0,12.0,124.0,3.0,0.0,0.0,0.258,(1;011),0.0
62,3.0,AlPd5,ICSD,245328,1.0,24.0,372.0,3.0,0.0,0.001,0.683,(0;011),0.0
62,3.0,Y2AlGe3,ICSD,78969,1.0,24.0,148.0,3.0,0.0,0.001,0.706,(0;011),0.0
62,3.0,AlAu2,ICSD,57496,1.0,12.0,100.0,3.0,0.0,0.006,0.372,(0;011),0.0
62,3.0,BaAg,ICSD,260623,1.0,8.0,84.0,3.0,0.0,0.001,0.353,(1;011),0.0
63,1.0,SrSi6,ICSD,240779,1.0,14.0,68.0,3.0,0.0,0.003,0.928,(0;110),0.0
63,1.0,SrSi,ICSD,78997,1.0,4.0,28.0,1.0,0.0,0.001,0.165,(0;110),0.0
63,1.0,Te2Pd3,ICSD,87915,1.0,10.0,132.0,3.0,0.0,0.011,0.63,(0;000),0.0
63,1.0,SrIn4Ni,ICSD,418178,1.0,12.0,144.0,3.0,0.0,0.013,0.79,(0;000),0.0
63,1.0,Li4H5Rh,ICSD,26225,1.0,20.0,68.0,1.0,0.0,0.04,0.723,(0;110),0.0
63,1.0,Fe2O3,ICSD,189439,1.0,10.0,68.0,3.0,0.0,0.008,0.707,(0;110),0.0
63,1.0,Ca2(ZnSn2)3,ICSD,424107,1.0,22.0,280.0,3.0,0.0,0.005,0.151,(1;110),0.0
63,1.0,CaSn,ICSD,165193,1.0,4.0,48.0,1.0,0.0,0.065,0.315,(0;110),0.0
63,1.0,CaSn2Pd,ICSD,410774,1.0,8.0,112.0,3.0,0.0,0.021,0.449,(0;110),0.0
63,1.0,CaIn2Pt,ICSD,408880,1.0,8.0,92.0,3.0,0.0,0.019,0.734,(0;000),0.0
63,1.0,CaIn2Pd,ICSD,408881,1.0,8.0,108.0,3.0,0.0,0.02,0.665,(0;110),0.0
63,1.0,Ba3Pb5,ICSD,165184,1.0,16.0,200.0,1.0,0.0,0.066,0.282,(0;110),0.0
63,1.0,Ba(Sn2Ru)3,ICSD,427286,1.0,20.0,284.0,3.0,0.0,0.006,0.953,(0;000),0.0
63,1.0,BaPb,ICSD,58664,1.0,4.0,48.0,1.0,0.0,0.085,0.123,(0;110),0.0
63,1.0,BaFe2Se3,ICSD,290596,1.0,12.0,88.0,1.0,0.0,0.001,0.469,(1;000),0.0
63,1.0,FeB4O7,ICSD,420401,1.0,24.0,124.0,3.0,0.0,0.001,0.095,(1;110),0.0
63,1.0,Cr2B2Ir,ICSD,418162,1.0,20.0,204.0,3.0,0.0,0.009,0.811,(0;110),0.0
63,1.0,Al6Ru,ICSD,58157,1.0,14.0,68.0,3.0,0.0,0.027,0.28,(0;110),0.0
63,2.0,Sr3Sn5,ICSD,411981,1.0,16.0,200.0,1.0,0.0,0.02,0.363,(1;110),0.0
63,2.0,Sr3Sn5,ICSD,165183,1.0,16.0,200.0,1.0,0.0,0.026,0.39,(1;000),0.0
63,2.0,ZrSi,ICSD,20284,1.0,4.0,16.0,3.0,0.0,0.005,0.258,(1;000),0.0
63,2.0,ZrRh,ICSD,163454,1.0,8.0,84.0,3.0,0.0,0.013,0.482,(1;000),0.0
63,2.0,Zr3NiO,ICSD,71964,1.0,10.0,56.0,3.0,0.0,0.007,0.682,(1;000),0.0
63,2.0,SrMg2Pd,ICSD,425493,1.0,8.0,96.0,1.0,0.0,0.006,0.519,(1;000),0.0
63,2.0,ZrIr,ICSD,163453,1.0,8.0,84.0,3.0,0.0,0.017,0.492,(1;000),0.0
63,2.0,SrIn4Pt,ICSD,418180,1.0,12.0,144.0,3.0,0.0,0.008,0.776,(1;110),0.0
63,2.0,SrIn4Pd,ICSD,418179,1.0,12.0,160.0,3.0,0.0,0.021,0.81,(1;110),0.0
